q_order,nlevels,fmm_order,k,alpha,n_points,split_order,rel_l2_exact,rel_linf_exact,rel_l2_vs_pmax,warm_solve_seconds,pct_improve_exact_vs_prev,pct_improve_vs_pmax_prev
5,3,20,10.0,80.0,8000,1,6.3205607793585944e-03,4.5639985025508695e-03,1.9897397632218689e-03,7.320068806,,
5,3,20,10.0,80.0,8000,2,5.2542570774341425e-03,3.2351104740013206e-03,9.0258889588667286e-05,7.397689968,16.870397,95.463784
5,3,20,10.0,80.0,8000,3,5.2400087294665410e-03,3.2085966954606086e-03,7.3669752870553947e-05,7.590962904,0.271177,18.379505
5,3,20,10.0,80.0,8000,4,5.2362727957912776e-03,3.2110130287307964e-03,6.4860547216492997e-05,7.431590035,0.071296,11.957697
5,3,20,10.0,80.0,8000,5,5.2456943174154025e-03,3.2019432245559915e-03,1.5579687703656472e-04,7.527081621,-0.179928,-140.202841
5,3,20,10.0,80.0,8000,6,5.2424474829832002e-03,3.2061051479825588e-03,0.0000000000000000e+00,7.692176729,0.061895,100.000000
